# Time: 2018-09-18T16:14:29+02:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07038
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 270
# Scan Range [ps]: 1.5
# Filter ACF: 0
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 0.000
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
0.770193	0.208769
0.770442	0.204814
0.770689	0.190186
0.770935	0.174396
0.771179	0.159602
0.771423	0.144443
0.771666	0.141086
0.771907	0.141185
0.772147	0.148499
0.772387	0.162627
0.772625	0.176291
0.772862	0.191782
0.773098	0.203783
0.773333	0.208537
0.773566	0.202353
0.773799	0.191981
0.774031	0.176955
0.774261	0.162661
0.774491	0.149496
0.774719	0.137695
0.774946	0.137728
0.775173	0.143113
0.775398	0.155247
0.775622	0.170739
0.775845	0.184768
0.776067	0.200492
0.776288	0.205478
0.776508	0.206409
0.776727	0.201589
0.776945	0.188358
0.777162	0.175459
0.777378	0.156477
0.777593	0.144011
0.777807	0.137096
0.778020	0.136997
0.778232	0.145008
0.778443	0.156444
0.778653	0.171138
0.778862	0.186696
0.779069	0.198963
0.779276	0.208005
0.779482	0.207107
0.779687	0.201190
0.779891	0.189388
0.780095	0.175160
0.780297	0.159004
0.780498	0.146172
0.780698	0.137495
0.780897	0.135035
0.781096	0.142016
0.781293	0.150061
0.781490	0.167547
0.781685	0.180911
0.781880	0.194840
0.782073	0.204448
0.782266	0.211130
0.782458	0.205445
0.782649	0.196735
0.782839	0.182972
0.783028	0.169409
0.783216	0.152289
0.783404	0.141119
0.783590	0.135501
0.783776	0.134370
0.783960	0.140022
0.784144	0.150593
0.784327	0.164622
0.784509	0.181477
0.784690	0.193876
0.784871	0.202054
0.785050	0.209002
0.785229	0.208504
0.785407	0.200093
0.785583	0.189388
0.785760	0.173166
0.785935	0.159536
0.786109	0.144742
0.786283	0.137429
0.786456	0.134736
0.786628	0.137495
0.786799	0.144742
0.786969	0.155247
0.787139	0.169243
0.787307	0.182939
0.787475	0.196636
0.787642	0.205312
0.787809	0.207340
0.787974	0.207440
0.788139	0.202719
0.788303	0.191450
0.788466	0.175493
0.788629	0.161331
0.788790	0.150228
0.788951	0.139290
0.789111	0.133706
0.789271	0.134503
0.789429	0.137628
0.789587	0.147136
0.789745	0.158971
0.789901	0.172468
0.790057	0.185798
0.790189	0.197400
0.790342	0.206143
0.790584	0.207573
0.790690	0.208304
0.790837	0.201888
0.790959	0.191549
0.791082	0.179116
0.791270	0.164423
0.791368	0.151291
0.791463	0.142715
0.791621	0.134470
0.791757	0.132110
0.791915	0.135069
0.792115	0.141318
0.792268	0.151624
0.792485	0.161564
0.792609	0.176158
0.792752	0.187793
0.792847	0.198896
0.793029	0.207706
0.793121	0.209268
0.793236	0.211263
0.793417	0.206609
0.793553	0.195306
0.793600	0.180978
0.793757	0.168977
0.793889	0.157076
0.794018	0.145075
0.794235	0.137662
0.794339	0.132509
0.794486	0.131877
0.794633	0.135301
0.794711	0.142149
0.794766	0.153319
0.794843	0.163691
0.794940	0.176158
0.795123	0.189555
0.795281	0.198763
0.795459	0.207008
0.795571	0.210964
0.795725	0.210299
0.795789	0.205478
0.795897	0.196237
0.796075	0.186829
0.796230	0.175260
0.796405	0.161730
0.796510	0.150527
0.796612	0.140820
0.796735	0.134237
0.796835	0.131079
0.796935	0.132841
0.796990	0.136099
0.797224	0.143878
0.797326	0.152688
0.797426	0.163492
0.797526	0.174529
0.797713	0.187061
0.797834	0.197866
0.798001	0.204248
0.798187	0.209601
0.798391	0.211263
0.798525	0.208005
0.798682	0.202553
0.798862	0.194275
0.798951	0.183338
0.799059	0.171437
0.799253	0.159835
0.799376	0.148133
0.799473	0.140520
0.799546	0.133373
0.799685	0.131379
0.799867	0.131478
0.800051	0.134370
0.800169	0.139922
0.800309	0.146903
0.800470	0.155148
0.800632	0.165786
0.800663	0.177687
0.800735	0.189056
0.800850	0.198132
0.800966	0.206110
0.801059	0.210132
0.801151	0.210099
0.801267	0.208337
0.801405	0.205744
0.801545	0.199993
0.801574	0.192181
0.801713	0.179249
0.801850	0.170107
0.801920	0.157907
0.802057	0.150660
0.802169	0.140820
0.802189	0.134171
0.802316	0.131944
0.802530	0.130215
0.802697	0.129949
0.802819	0.131644
0.802873	0.139091
0.802992	0.143745
0.803066	0.151956
0.803205	0.162229
0.803319	0.171503
0.803406	0.180612
0.803488	0.191583
0.803590	0.200093
0.803732	0.205345
0.803760	0.210531
0.803829	0.212460
0.803918	0.212892
0.803981	0.209468
0.804041	0.203683
0.804120	0.199727
0.804197	0.191549
0.804248	0.181477
0.804322	0.173963
0.804504	0.163060
0.804529	0.155015
0.804617	0.145706
0.804768	0.139324
0.804828	0.135966
0.804909	0.131013
0.805010	0.129484
0.805133	0.129550
0.805278	0.130215
0.805334	0.136132
0.805409	0.137462
0.805479	0.144709
0.805592	0.150294
0.805749	0.158472
0.805837	0.167215
0.805881	0.174994
0.805989	0.184601
0.806140	0.191350
0.806222	0.197068
0.806304	0.204315
0.806339	0.208005
0.806460	0.211628
0.806536	0.210831
0.806631	0.210498
0.806701	0.208703
0.806835	0.203018
0.806901	0.198730
0.806922	0.192879
0.807009	0.187660
0.807099	0.178518
0.807256	0.169243
0.807300	0.162229
0.807366	0.154184
0.807434	0.146571
0.807479	0.142083
0.807569	0.137396
0.807528	0.133440
0.807623	0.130182
0.807674	0.127323
0.807725	0.129351
0.807801	0.128918
0.807898	0.132642
0.807994	0.134769
0.808067	0.140088
0.808006	0.145108
0.808053	0.149762
0.808099	0.156610
0.808121	0.163292
0.808185	0.169775
0.808271	0.176922
0.808354	0.185433
0.808436	0.191184
0.808516	0.195937
0.808594	0.202154
0.808692	0.204647
0.808743	0.208902
0.808724	0.211063
0.808813	0.211628
0.808921	0.210698
0.808963	0.211130
0.809029	0.208171
0.809072	0.204780
0.809179	0.202088
0.809239	0.196536
0.809295	0.191317
0.809326	0.187161
0.809377	0.179615
0.809404	0.175426
0.809496	0.168279
0.809498	0.162794
0.809610	0.157907
0.809698	0.152654
0.809695	0.145008
0.809780	0.142715
0.809865	0.137994
0.809881	0.134404
0.809939	0.132874
0.809953	0.128918
0.809968	0.126990
0.809984	0.127788
0.810024	0.126492
0.810061	0.127456
0.810051	0.128819
0.810105	0.131611
0.810180	0.132043
0.810295	0.136930
0.810298	0.138958
0.810347	0.142981
0.810350	0.147768
0.810395	0.149729
0.810416	0.155480
0.810459	0.157209
0.810612	0.164190
0.810629	0.166018
0.810668	0.172667
0.810706	0.176490
0.810743	0.180346
0.810846	0.185632
0.810881	0.188225
0.810805	0.192048
0.810816	0.197832
0.810761	0.197766
0.810769	0.202320
0.810776	0.203284
0.810782	0.207008
0.810787	0.207041
0.810902	0.210698
0.810972	0.210199
0.811018	0.212327
0.811061	0.211961
0.811172	0.211761
0.811150	0.211761
0.811149	0.213257
0.811170	0.210132
0.811146	0.210332
0.811186	0.206176
0.811183	0.207340
0.811179	0.205312
0.811243	0.202852
0.811329	0.200625
0.811394	0.199262
0.811393	0.196336
0.811392	0.195206
0.811475	0.190585
0.811466	0.187627
0.811544	0.186962
0.811554	0.181277
0.811651	0.179615
0.811768	0.176523
0.811862	0.174495
0.811952	0.171404
0.811948	0.169243
0.812006	0.167315
0.811997	0.164755
0.812031	0.160600
0.812087	0.158671
0.812121	0.156943
0.812221	0.152787
0.812254	0.152821
0.812200	0.151192
0.812214	0.147103
0.812273	0.145939
0.812330	0.145108
0.812406	0.143180
0.812416	0.140986
0.812400	0.140986
0.812336	0.138759
0.812379	0.137429
0.812442	0.136963
0.812437	0.135102
0.812452	0.136432
0.812401	0.132509
0.812392	0.133273
0.812358	0.131545
0.812321	0.131079
0.812330	0.129417
0.812339	0.130049
0.812324	0.131146
0.812330	0.130414
0.812313	0.128353
0.812297	0.128387
0.812302	0.128586
0.812372	0.127323
0.812397	0.128187
0.812402	0.129018
0.812450	0.128752
0.812454	0.127988
0.812480	0.126824
0.812529	0.127888
0.812600	0.128087
0.812669	0.126159
0.812736	0.127722
0.812804	0.126159
0.812784	0.126758
0.812785	0.127788
0.812875	0.127256
0.812877	0.128154
0.812921	0.126857
0.813006	0.126425
0.813001	0.127356
0.812992	0.127290
0.813023	0.126492
0.812986	0.127722
0.812974	0.127589
0.813006	0.127024
0.813038	0.126724
0.813004	0.127323
0.812947	0.127622
0.812890	0.126758
0.812898	0.127356
0.812883	0.126093
0.812800	0.125794
0.812828	0.128686
0.812813	0.125927
0.812796	0.128653
0.812779	0.128453
0.812784	0.127256
0.812788	0.128752
0.812769	0.130182
0.812794	0.129018
0.812862	0.129284
0.812860	0.128719
0.812897	0.130049
0.812911	0.131013
0.812940	0.130348
0.813009	0.132276
0.813007	0.132874
0.813047	0.133905
0.813039	0.133972
0.813114	0.134902
0.813076	0.136265
0.813058	0.137229
0.813057	0.137263
0.813032	0.138094
0.812959	0.138759
0.812928	0.141185
0.812897	0.144643
0.812821	0.145241
0.812721	0.146272
0.812707	0.149762
0.812668	0.150992
0.812650	0.152289
0.812585	0.154715
0.812519	0.155646
0.812450	0.160001
0.812421	0.161697
0.812345	0.163990
0.812288	0.165353
0.812275	0.168312
0.812239	0.170905
0.812246	0.175360
0.812161	0.178884
0.812161	0.180778
0.812159	0.183338
0.812068	0.186563
0.812045	0.187327
0.811956	0.191450
0.812003	0.193411
0.812006	0.196968
0.811986	0.199561
0.811989	0.200990
0.811948	0.203583
0.811907	0.203883
0.811885	0.205977
0.811839	0.209168
0.811904	0.210265
0.811879	0.210531
0.811897	0.212293
0.811869	0.211628
0.811840	0.214521
0.811787	0.212659
0.811776	0.211662
0.811740	0.210731
0.811679	0.210598
0.811594	0.207539
0.811509	0.206642
0.811464	0.203617
0.811463	0.203185
0.811327	0.198996
0.811255	0.196270
0.811270	0.191682
0.811220	0.189222
0.811212	0.185565
0.811133	0.181011
0.811074	0.176756
0.810967	0.172035
0.810860	0.167182
0.810861	0.163758
